"","lng","lat"
"1","-87.6706","41.53344"
"2","-87.7147","41.92123"
"3","-87.6735","41.81859"
"4","-87.7024","42.00210"
"5","-87.6417","41.84226"
"6","-87.7258","41.77521"
"7","-87.6954","41.90303"
"8","-87.6934","42.02798"
"9","-87.6800","41.65464"
"10","-87.7214","41.79056"
"11","-87.6477","41.69396"
"12","-87.6874","41.83143"
"13","-87.8832","41.94844"
"14","-87.7212","41.77383"
"15","-87.7038","41.79580"
"16","-87.7508","41.91528"
"17","-87.5659","41.74558"
"18","-87.6004","41.74076"
"19","-87.8519","41.85144"
"20","-87.9227","42.05577"
"21","-87.6776","41.67347"
"22","-87.7801","41.77860"
"23","-87.6200","41.89953"
"24","-87.6618","41.78162"
"25","-87.7344","41.97272"
"26","-87.6576","41.84250"
"27","-87.7071","41.84583"
"28","-87.6847","41.81756"
"29","-87.7184","41.84520"
"30","-87.8121","42.09969"
"31","-87.7522","41.72687"
"32","-87.9270","42.06482"
"33","-87.7002","41.77245"
"34","-87.6796","41.99823"
"35","-87.7376","41.79383"
"36","-87.8218","41.73801"
"37","-87.9449","42.14557"
"38","-87.7677","41.85559"
"39","-87.8797","41.88892"
"40","-87.6408","41.60595"
"41","-87.7286","41.79043"
"42","-87.7756","41.93763"
"43","-88.0098","42.15038"
"44","-87.6964","41.91526"
"45","-87.7814","41.98056"
"46","-87.6467","41.53082"
"47","-87.6871","41.79415"
"48","-87.6555","41.72606"
"49","-87.7226","42.04709"
"50","-87.7570","41.92008"
"51","-88.0595","41.99474"
"52","-87.7898","41.93549"
"53","-87.6803","41.74555"
"54","-87.5837","41.71174"
"55","-87.7126","41.76178"
"56","-87.7384","41.94024"
"57","-87.8117","41.93190"
"58","-87.8041","41.74614"
"59","-87.7740","41.84588"
"60","-87.8304","42.02924"
"61","-87.5821","41.76950"
"62","-87.7020","41.81305"
"63","-87.7103","41.97167"
"64","-87.7888","41.95083"
"65","-87.6428","41.83215"
"66","-87.7485","41.64108"
"67","-87.6585","41.78483"
"68","-87.6718","41.94739"
"69","-87.6560","41.95509"
"70","-87.7835","41.74591"
"71","-87.7761","41.78551"
"72","-87.6754","41.76853"
"73","-87.7919","41.73974"
"74","-87.7220","41.83925"
"75","-87.6220","41.83654"
"76","-87.7928","41.86400"
"77","-87.7062","41.76123"
"78","-87.6856","41.79817"
"79","-87.6424","41.78815"
"80","-87.7798","41.84377"
"81","-87.5937","41.77509"
"82","-87.6965","41.99885"
"83","-87.6881","41.89144"
"84","-87.9129","41.88621"
"85","-88.1681","42.00637"
"86","-88.0903","42.02523"
"87","-87.6926","41.78733"
"88","-87.8205","42.06248"
"89","-87.7007","41.71630"
"90","-87.7887","41.91749"
"91","-87.8918","41.90321"
"92","-88.0696","42.06041"
"93","-87.6935","41.78157"
"94","-87.7766","41.70911"
"95","-87.7760","42.12356"
"96","-87.8547","41.80709"
"97","-87.7890","41.99474"
"98","-87.6985","41.70389"
"99","-87.7371","41.92184"
"100","-87.7230","41.80793"
"101","-88.0229","42.12764"
"102","-87.8552","41.94858"
"103","-87.7129","41.96540"
"104","-87.6929","41.80818"
"105","-87.6538","41.97505"
"106","-87.7141","41.78944"
"107","-87.7082","41.91558"
"108","-87.9745","42.12277"
"109","-87.9075","42.04190"
"110","-87.7608","41.94650"
"111","-87.7074","41.97313"
"112","-87.7541","42.10261"
"113","-87.7111","41.79109"
"114","-87.6682","41.81109"
"115","-87.7459","41.83692"
"116","-87.6616","41.98982"
"117","-87.7800","41.92998"
"118","-87.9479","42.11774"
"119","-87.7240","41.85473"
"120","-87.5972","41.79527"
"121","-87.8558","41.74942"
"122","-87.7197","41.77293"
"123","-87.7330","41.79434"
"124","-87.5344","41.60913"
"125","-87.7258","42.10247"
