"lng","lat"
"-87.9433","42.04190"
"-87.5253","41.64738"
"-87.7688","41.94343"
"-87.7095","41.83729"
"-87.6677","41.80756"
"-87.8943","42.10662"
"-87.7311","41.91047"
"-87.7181","41.96243"
"-87.7039","41.79443"
"-88.1453","41.99078"
"-87.7352","41.91949"
"-87.6957","41.85082"
"-87.7225","41.77960"
"-87.7419","41.85753"
"-87.9329","42.09539"
"-87.7082","41.83826"
"-87.8443","42.01799"
"-87.7969","41.81281"
"-87.6110","41.50456"
"-87.6877","41.81458"
"-87.6689","41.82772"
"-87.7149","41.91417"
"-88.1588","42.00274"
"-87.7958","41.85409"
"-87.7521","41.83920"
"-87.6820","41.67656"
"-87.7727","41.90379"
"-87.6935","41.82076"
"-87.5495","41.64500"
"-87.7481","41.80423"
"-87.6386","41.52927"
"-87.7409","41.77605"
"-87.8285","41.94918"
"-87.7422","41.93248"
"-87.6541","41.48253"
"-87.6804","41.78874"
"-87.6743","41.85507"
"-87.5377","41.69687"
"-87.7727","41.84251"
"-87.8123","41.97189"
"-87.7621","41.79814"
"-87.7141","41.77249"
"-87.7035","41.84129"
"-87.7268","41.95434"
"-87.9036","41.62973"
"-87.6870","41.79759"
"-87.7706","41.91465"
"-87.8401","41.89544"
"-87.9630","42.04529"
"-87.6920","41.57516"
"-87.7307","41.74218"
"-87.7074","41.95499"
"-87.5581","41.61549"
"-87.7667","41.77569"
"-87.7138","41.96217"
"-87.9712","42.03534"
"-87.7319","41.89849"
"-87.6985","41.79013"
"-87.7255","41.83889"
"-87.7003","41.80249"
"-87.6962","41.77913"
"-87.8682","41.90858"
"-87.7350","41.94136"
"-88.1532","42.03229"
"-87.7998","41.86022"
"-87.7019","41.78656"
"-87.7543","41.92464"
"-87.7152","41.93511"
"-87.6770","41.85266"
"-88.2440","42.02193"
"-87.6730","41.75482"
"-87.7694","41.95021"
"-87.7275","41.96408"
"-87.7056","41.79802"
"-87.8729","41.90371"
"-87.6999","42.08312"
"-87.6648","41.89671"
"-87.8109","41.93329"
"-87.6764","41.77019"
"-87.7524","41.89289"
"-87.7248","41.96663"
"-87.7129","41.80863"
"-87.7612","41.85267"
"-87.7399","41.74483"
"-87.6838","41.77335"
"-87.8010","41.94501"
"-87.7056","41.79397"
"-87.6778","41.66663"
"-87.7160","41.81754"
"-88.0158","42.15010"
"-87.7212","41.75638"
"-87.7452","41.94232"
"-87.6948","41.80062"
"-87.7695","41.92320"
"-87.9149","41.87581"
"-87.5638","41.67397"
"-87.7209","41.90070"
"-87.8037","41.90537"
"-87.8647","41.85721"
"-87.7310","41.76906"
"-87.8975","41.90377"
"-87.8816","41.92615"
"-87.7117","41.76928"
"-87.7396","41.79805"
"-87.7580","41.84847"
"-87.7016","41.84829"
"-87.7184","41.77198"
"-88.0096","42.06014"
"-87.9148","41.87270"
"-87.7675","41.78946"
"-87.7283","41.80128"
"-87.7525","41.84854"
"-87.7654","41.85381"
"-87.6995","41.78373"
"-87.9088","42.11561"
"-87.6749","41.89259"
"-87.7531","41.94202"
"-87.7773","41.86028"
"-87.7199","41.81508"
"-87.7759","41.92181"
"-87.7327","41.73882"
"-87.6229","41.83164"
"-87.6886","41.77354"
"-87.7148","41.72955"
"-87.6725","42.00918"
"-87.6604","41.94291"
"-87.7306","41.95779"
"-87.6499","41.83196"
"-87.8437","41.93002"
"-87.5380","41.71914"
"-87.6675","41.81387"
"-87.8237","41.92900"
"-87.6895","41.78456"
"-87.6847","41.53750"
"-87.7361","41.91723"
"-87.5348","41.71001"
"-87.7087","41.74427"
"-87.7550","41.94649"
"-87.5574","41.71793"
"-87.7403","41.80165"
"-87.7560","41.87120"
"-87.7523","41.72045"
"-87.6869","41.91942"
"-87.7559","41.94008"
"-87.7743","41.91883"
"-87.7005","41.79538"
"-87.7306","41.77857"
"-87.8213","41.94592"
"-87.6275","41.83659"
"-87.7198","41.97323"
"-87.7030","41.91467"
"-87.7192","41.79537"
"-87.7657","41.95349"
"-87.6998","42.04366"
"-87.8251","41.97622"
"-87.7953","41.93264"
"-87.7551","41.91586"
"-87.6795","41.62471"
"-87.8788","41.83570"
"-87.8525","41.89457"
